condition,seed,trace,method,intervals,active_intervals,subinterval_checks,failures,max_endpoint_error,max_lipschitz_excess,min_true_interval_bound,minimum_feasibility_margin,model_safe_true_negative_intervals
easy,113000001,calibration,cbvf,5393,4168,21572,0,8.104628079763643e-15,0.0,0.00240092679121657,0.0700181012083221,0
easy,113000001,heldout_deployment,cp,5548,4290,22192,0,8.715250743307479e-15,0.0,0.02361940144419734,0.04234846818037909,0
easy,113000001,heldout_reference,cbvf,5453,4195,21812,0,8.43769498715119e-15,0.0,0.0021843872292769675,0.06349360356216789,0
easy,113000001,performance_cbvf,cbvf,5438,4201,21752,0,9.103828801926284e-15,0.0,0.0021502052700418774,0.062489558056471745,0
easy,113000001,performance_cp,cp,5535,4298,22140,0,9.2148511043888e-15,0.0,0.023585784429436898,0.041375240881245355,0
easy,113000001,performance_nominal,nominal,5304,0,21216,0,5.773159728050814e-15,0.0,-0.07531304372713489,,0
hard,113000001,calibration,cbvf,3414,2174,13656,0,7.771561172376096e-16,0.0,-0.010720547582313585,0.06090519138996589,1406
hard,113000001,heldout_deployment,cp,10551,4819,42204,0,7.771561172376096e-16,0.0,0.03376295388874985,0.0719402445324142,0
hard,113000001,heldout_reference,cbvf,3313,2082,13252,0,7.771561172376096e-16,0.0,-0.01174010529267339,0.06878377549770578,1333
hard,113000001,performance_cbvf,cbvf,3328,2089,13312,0,7.216449660063518e-16,0.0,-0.011639171210908975,0.06815758896828394,1337
hard,113000001,performance_cp,cp,10547,4811,42188,0,6.661338147750939e-16,0.0,0.033850436802831604,0.07164278677912743,0
hard,113000001,performance_nominal,nominal,2246,0,8984,0,9.992007221626409e-16,0.0,-0.29012278095544475,,0
aligned,114000001,calibration,cbvf,3933,2691,15732,0,1.5107137762981893e-11,0.0,0.031925433934813674,0.15695634703040284,0
aligned,114000001,heldout_deployment,cp,3951,2694,15804,0,5.281608483898026e-12,0.0,0.028478226492254288,0.1537185056843456,0
aligned,114000001,heldout_reference,cbvf,3951,2694,15804,0,5.281608483898026e-12,0.0,0.028478226492254288,0.1537185056843456,0
aligned,114000001,performance_cbvf,cbvf,3933,2687,15732,0,9.79413772306259e-12,0.0,0.03558705240754661,0.16052148685052053,0
aligned,114000001,performance_cp,cp,3933,2687,15732,0,9.79413772306259e-12,0.0,0.03558705240754661,0.16052148685052053,0
aligned,114000001,performance_nominal,nominal,3933,0,15732,0,9.79413772306259e-12,0.0,0.03558705240754661,,0
easy,114000001,calibration,cbvf,5341,4095,21364,0,5.5067062021407764e-14,0.0,0.003188313595914342,0.0926108327445259,0
easy,114000001,heldout_deployment,cp,5463,4207,21852,0,3.7237990468952376e-12,0.0,0.024042216797119195,0.05811094080249569,0
easy,114000001,heldout_reference,cbvf,5396,4140,21584,0,1.2883027977750316e-12,0.0,0.002740697958121095,0.07934281606447827,0
easy,114000001,performance_cbvf,cbvf,5350,4090,21400,0,1.63202784619898e-13,0.0,0.003252533511749191,0.09455455097510478,0
easy,114000001,performance_cp,cp,5401,4141,21604,0,4.604316927725449e-12,0.0,0.02455086490946015,0.07304412680460332,0
easy,114000001,performance_nominal,nominal,5305,0,21220,0,1.8207657603852567e-14,0.0,-0.03845845604635598,,0
hard,114000001,calibration,cbvf,3555,2316,14220,0,8.881784197001252e-16,0.0,-0.009721865993362106,0.05235487341856841,1529
hard,114000001,heldout_deployment,cp,10532,4805,42128,0,6.661338147750939e-16,0.0,0.03476395832806528,0.06475398679635035,0
hard,114000001,heldout_reference,cbvf,3427,2197,13708,0,7.771561172376096e-16,0.0,-0.010512590382886171,0.0591373404798269,1427
hard,114000001,performance_cbvf,cbvf,3540,2295,14160,0,8.881784197001252e-16,0.0,-0.009827856319009157,0.05337006683985428,1510
hard,114000001,performance_cp,cp,10486,4787,41944,0,8.881784197001252e-16,0.0,0.03539106773440648,0.05865635356971413,0
hard,114000001,performance_nominal,nominal,2284,0,9136,0,1.1102230246251565e-15,0.0,-0.25258400849172014,,0
aligned,115000001,calibration,cbvf,3963,2696,15852,0,7.444544980472756e-12,0.0,0.04318651702360506,0.1668860320778605,0
aligned,115000001,heldout_deployment,cp,3959,2707,15836,0,1.2143175354140112e-11,0.0,0.02972061386123872,0.15458198204572113,0
aligned,115000001,heldout_reference,cbvf,3959,2707,15836,0,1.2143175354140112e-11,0.0,0.02972061386123872,0.15458198204572113,0
aligned,115000001,performance_cbvf,cbvf,3960,2705,15840,0,4.427014310692812e-12,0.0,0.03281014554551673,0.15742750779648157,0
aligned,115000001,performance_cp,cp,3960,2705,15840,0,4.427014310692812e-12,0.0,0.03281014554551673,0.15742750779648157,0
aligned,115000001,performance_nominal,nominal,3960,0,15840,0,4.427014310692812e-12,0.0,0.03281014554551673,,0
easy,115000001,calibration,cbvf,5390,4151,21560,0,5.319750195909023e-11,0.0,0.002770624835026916,0.08010591274075826,0
easy,115000001,heldout_deployment,cp,5413,4153,21652,0,2.4248436591989275e-11,0.0,0.02454412183770626,0.07353453578726092,0
easy,115000001,heldout_reference,cbvf,5364,4104,21456,0,1.0906997527371232e-11,0.0,0.0032788906773946165,0.09511810745688945,0
easy,115000001,performance_cbvf,cbvf,5344,4092,21376,0,3.557709682411314e-12,0.0,0.003402322835582578,0.09869520493680121,0
easy,115000001,performance_cp,cp,5392,4140,21568,0,1.4816481375135027e-11,0.0,0.024666950919386307,0.0772279277375926,0
easy,115000001,performance_nominal,nominal,5306,0,21224,0,2.9770630405323573e-13,0.0,-0.03333537866488274,,0
hard,115000001,calibration,cbvf,3359,2117,13436,0,6.661338147750939e-16,0.0,-0.011273464291567503,0.06550510937230364,1360
hard,115000001,heldout_deployment,cp,10566,4775,42264,0,8.881784197001252e-16,0.0,0.03528253125245824,0.06258730551149386,0
hard,115000001,heldout_reference,cbvf,3536,2273,14144,0,8.881784197001252e-16,0.0,-0.009934938845668484,0.05461192668617598,1490
hard,115000001,performance_cbvf,cbvf,3422,2176,13688,0,7.216449660063518e-16,0.0,-0.01066371057206334,0.060657236529573035,1409
hard,115000001,performance_cp,cp,10616,4795,42464,0,6.661338147750939e-16,0.0,0.03461478228873664,0.06740049287264967,0
hard,115000001,performance_nominal,nominal,2268,0,9072,0,1.1102230246251565e-15,0.0,-0.27019293227938773,,0
