condition,Cx,Delta,L_min,L_max,epsilon_min,epsilon_max,representative_intervals,reconstructed_subinterval_checks,failures
aligned,1.0,0.002,1.9479026063075147,2.335656917898536,0.007791610425230059,0.009342627671594144,118527,474108,0
easy,1.0,0.002,1.947919746432245,2.3874232269586724,0.007791678985728981,0.00954969290783469,162595,650380,0
hard,1.0,0.002,1.947902826148154,2.4337326469857263,0.007791611304592615,0.009734930587942905,167918,671672,0
