condition,region,mean,std
aligned,h<0.75,0.0,0.0
aligned,h>=0.75,0.0,0.0
easy,h<0.75,0.02207279975837288,0.00011242538057048419
easy,h>=0.75,0.025053969697973875,2.3647938456095268e-08
hard,h<0.75,0.047680505767916444,0.00012473019065869977
hard,h>=0.75,0.05011050974553618,9.268032305407944e-08
