condition,method,unsafe_rate_mean,unsafe_rate_std,goal_rate_mean,goal_rate_std,episode_return_mean,episode_return_std,intervention_rate_mean,intervention_rate_std,mean_intervention_count_mean,mean_intervention_count_std,minimum_safety_margin_mean,minimum_safety_margin_std,unsafe_episodes,goal_episodes,episodes,pooled_minimum_margin,pooled_intervention_rate
aligned,nominal,0.0,0.0,1.0,0.0,78.88002380638454,0.04597728754248842,0.0,0.0,0.0,0.0,0.09532618391134055,0.009288250008664118,0,500,500,0.08404358343542129,0.0
aligned,cbvf,0.0,0.0,1.0,0.0,78.8782251638654,0.04868353263454591,0.004969312002152726,0.009384062969367788,19.716,37.256946734803705,0.09533931797110962,0.009270175349347069,0,500,500,0.08409857846870694,0.004984431866790578
aligned,cp,0.0,0.0,1.0,0.0,78.8782251638654,0.04868353263454591,0.004969312002152726,0.009384062969367788,19.716,37.256946734803705,0.09533931797110962,0.009270175349347069,0,500,500,0.08409857846870694,0.004984431866790578
easy,nominal,0.0,0.0,1.0,0.0,76.97158417191558,0.1943076719079636,0.0,0.0,0.0,0.0,0.04752348073311998,0.009117316855168332,0,500,500,0.03637859035115354,0.0
easy,cbvf,0.0,0.0,1.0,0.0,76.15901443938317,0.3387261953003262,0.08707246232926814,0.01430065472952243,470.85200000000003,81.03020004911748,0.048671390279008755,0.008598093183087106,0,500,500,0.03823521262560581,0.08718628993313246
easy,cp,0.0,0.0,1.0,0.0,75.57616210720258,0.49609203894217513,0.11147285912930069,0.0162353424282843,611.418,96.12582259726054,0.04926356731780344,0.008413702805189037,0,500,500,0.039080593961213994,0.1116627322266252
hard,nominal,1.0,0.0,0.0,0.0,-116.37617139376792,0.049871565889351335,0.0,0.0,0.0,0.0,-0.0005668984971028523,2.2447567823700647e-05,500,0,500,-0.0005975905353250432,0.0
hard,cbvf,1.0,0.0,0.0,0.0,-121.72415136623874,0.25158199473510634,0.4543011747775355,0.009098144504907651,1542.1680000000001,58.44945311976836,-1.1919329021892189e-05,1.5537124538627014e-06,500,0,500,-1.3656755025071021e-05,0.4545633542767335
hard,cp,0.0,0.0,1.0,0.0,42.895872489868296,0.29249067837467935,0.2071791641157792,0.0009274787991729183,2188.0180000000005,5.762587960283096,0.026224166439152374,0.00033710777474232055,0,500,500,0.025829482359072897,0.20717599474905968
